MRWLSK01,"MARCHWELL, SASK."
MSFL,Missi Falls
MSHR,MOOSEHORN
MSIS,MATHESON ISLAND
MSLK,Moose Lake
MTHR,Mather
MTLC,Matlock
MTNB,MOUNT NEBO
MXLK,MAX LAKE
NDLD,Notre Dame De Lourdes
NEPW,Neepawa
NGLK,Notigi Lake
NGPP,Nopiming
NING,NINGA
NINT,Ninette
NNHS,Nelson House
NPNK,NAPINKA
NRCS,NARCISSE
NRGT,NORGATE
NRHS,Norway House
NRRS,NARROWS
NRSL,NORRIS LAKE
NSBT,NESBITT
NSLK,NORTH SHOAL LAKE
NTLKMB01,Nutimik Lake
NVVL,Niverville
NWBW,NEW BOTHWELL
NWDL,NEWDALE
NWTN,NEWTON
OCBH,OCHRE BEACH
OCRV,OCHRE RIVER
ODHS,Oxford House
ODRV,Odei River
OKBK,Oak Bank
OKBL,Oak Bluff
OKBN,Oakburn
OKLD,OAKLAND
OKLK,Oak Lake
OKNO,OKNO
OKNR,OAKNER
OKPN,OAK POINT
OKRV,Oak River
OKVL,Oakville
ONAN,Onanole
ORLK,OTTER LAKE
OSBR,OSBORNE
OSCK,ONE STONE CREEK
OSWD,Oswald
OTBN,OTTERBURNE
OTFL,OTTER FALLS
OVRV,Overflowing River
PGIR,Peguis Indian Reserve 1B
PGUS,PEGUIS
PINW,Pinawa
PINY,Piney
PKDL,Parkdale
PKWN,PUKATAWAGAN
PKWT,PIKWITONEI
PLBH,PEBBLE BEACH
PLCL,Plum Coulee
PLFD,POPLARFIELD
PLHM,PLEASANT HOME
PLMN,Pilot Mound
PLMS,Plumas
PLRV,POPLAR RIVER
PLVR,PLEASANT VALLEY
PMBN,
PNBS,Pointe Du Bois
PNCK,PINE CREEK
PNDK,Pine Dock
PNFL,Pine Falls
PNGS,Pauingassi
PNLK,Pelican Lake
PNPN,PEONAN POINT
PNRD,PELICAN RAPIDS
PNRV,Pine River
PNTN,Ponton
POLN,POLONIA
PPPN,Poplar Point
PPST,Pipestone
PRGV,PRAIRIE GROVE
PRPR,Portage la Prairie
PRSN,Pierson
PRTT,PRATT
PRVS,PURVES
PRWD,PRAWDA
PSHR,PRINCESS HARBOUR
PTBH,PATRICIA BEACH
PTFD,Petersfield
PTLK,Paint Lake
PURV,PULP RIVER
PWBY,Pinawa Bay
RBBA,ROBINSON BAY
RBLN,Roblin
RBRN,Rossburn
RCHM,RACKHAM
RCHR,Richer
RCLK,ROCK LAKE
RDMT,RIDING MOUNTAIN
RDRS,RED ROSE
RDSN,Radisson
REBN,REABURN
RELK,Reed Lake
RENI,Rennie
REPR,Reaper
RGNT,REGENT
RGVL,RIDGEVILLE
RIVR,La Riviere
RKTN,RORKETON
RKWD,Rockwood
RMBR,REMBRANDT
RMLK,ROSSMAN LAKE
RNDL,ROSSENDALE
RNLD,REINLAND
RNTH,ROUNTHWAITE
ROLD,Roland
ROLK,ROCKY LAKE
ROSS,ROSS
RPCY,Rapid City
RRLK,RED ROCK LAKE
RRRV,ROARING RIVER
RRVR,Roseau River Treaty Reserve
RSBN,ROSEBANK
RSDL,ROSSDALE
RSGD,ROSENGARD
RSIS,ROSEISLE
RSLK,Red Sucker
RSNF,ROSENFELD
RSNR,Rosenort
RSRV,Roseau River
RSSL,Russell
RSSR,ROSSER
RSTN,Reston
RSTW,ROSETOWN
RSVL,ROSSVILLE
RSWD,ROSEWOOD
RTLD,ROUTLEDGE
RTRV,RAT RIVER
RTWL,Rathwell
RVRS,Rivers
RVTN,Riverton
RYJV,REYKJAVIK
SAMLMB01,STE AMELIE
SART,SARTO
SBIR,Sandy Bay Indian Reserve
SBLK,Soab Lake
SCBY,SCANTERBURY
SCLT,Sclater
SCND,SCANDINAVIA
SCRT,SCARTH
SDBA,SOURDOUGH BAY
SDBY,SANDY BAY
SDNY,Sidney
SFTN,Sifton
SGHL,SPRINGHILL
SGLK,SETTING LAKE
SGLV,SIGLAVIK
SGPN,SUGAR POINT
SHBA,SOUTH BAY
SHIL,Shilo
SHLK,Shoal Lake
SHMO,SHELLMOUTH
SHMW,SHAMATTAWA
SHRD,SHERRIDON
SILK,South Indian Lake
SKIS,SMOKEY ISLAND
SKTN,STOCKTON
SLAZ,St Lazare
SLKR,Selkirk
SLRG,SILVER RIDGE
SLSG,SOLSGIRTH
SLTN,SILVERTON
SLVR,SILVER
SMFD,SOMMERFELD
SMRT,Somerset
SNCF,SHORNCLIFFE
SNCL,Sinclair Town
SNCR,SAN CLARA
SNDC,SUNDANCE
SNFR,Sanford
SNLK,Sandy Lake
SNRV,Suwannee River
SNWF,SNOWFLAKE
SOLK,Snow Lake
SOPT,Southport
SORS,Souris
SPNG,Sperling
SPRC,SPRUCE
SPRG,Sprague
SPRN,SPRINGSTEIN
SPSG,SPRUCE SIDING
SPTN,SAPTON
SRFL,SILVER FALLS
SSBY,Sunset Bay
SSFL,Seven Sisters Falls
STAD,St Adolphe
STAM,ST AMBROISE
STAN,Ste Anne
STAT,Ste Agathe
STAW,St Andrews 
STCD,St Claude
STES,St Eustache
STFD,STEPHENFIELD
STFX,St Francois Xavier
STHL,STONY HILL
STJB,St Jean Baptiste
STJS,ST JOSEPH
STJT,South Junction
STLB,ST LABRE
STLK,Split Lake
STLN,ST LEON
STLR,St Laurent
STML,St Malo
STMN,St Martin
STMT,Stony Mountain
STNB,Steinbach
STNW,Stonewall
STONMBCA,STONEY POINT
STPK,STRATHCONA PARK
STPN,Ste Theresa Point
STPR,St Pierre
STRB,Starbuck
STRK,Steep Rock
STRL,Ste Rose Du Lac
STRT,Strathclair
